timestamp,cycle,mode,episode_in_mode,total_reward,steps,v_out_mean
1768409829,1,test,88,2.0,197,-62.33517837524414
1768409852,1,test,89,2.0,201,-62.49642562866211
1768409882,1,test,90,3.0,250,-62.27555465698242
1768409905,1,test,91,2.0,202,-62.310401916503906
1768409934,1,test,92,3.0,249,-62.47359085083008
1768409957,1,test,93,2.0,201,-62.13399124145508
1768409986,1,test,94,3.0,251,-62.43855667114258
1768410009,1,test,95,2.0,198,-62.27975845336914
1768410032,1,test,96,2.0,198,-62.52430725097656
1768410056,1,test,97,2.0,203,-62.33251190185547
1768410080,1,test,98,2.0,208,-62.314842224121094
1768410103,1,test,99,2.0,197,-62.556819915771484
1768410103,1,test_cycle_avg,-1,2.17,210,-62.44170783996582
1768410142,2,train,0,3.0,251,-63.09014892578125
1768410173,2,train,1,2.0,205,-62.50828170776367
1768410205,2,train,2,2.0,206,-63.06317901611328
1768410237,2,train,3,2.0,204,-62.871925354003906
1768410268,2,train,4,2.0,202,-61.4372444152832
1768410288,2,train,5,0.0,128,-61.217384338378906
1768410326,2,train,6,3.0,250,-61.555389404296875
1768410365,2,train,7,3.0,253,-63.4381217956543
1768410397,2,train,8,2.0,207,-63.18129348754883
1768410428,2,train,9,2.0,200,-61.99596405029297
1768410466,2,train,10,3.0,250,-62.9822998046875
1768410504,2,train,11,3.0,246,-62.05585861206055
1768410543,2,train,12,3.0,248,-61.98619842529297
1768410574,2,train,13,2.0,203,-62.64104080200195
1768410604,2,train,14,2.0,199,-62.344078063964844
1768410643,2,train,15,3.0,248,-62.27565383911133
1768410676,2,train,16,2.0,218,-64.14818572998047
1768410707,2,train,17,2.0,200,-63.02334976196289
1768410746,2,train,18,3.0,249,-62.79149627685547
1768410783,2,train,19,3.0,246,-62.57865905761719
1768410815,2,train,20,2.0,208,-62.48099899291992
1768410846,2,train,21,2.0,200,-61.55738830566406
1768410867,2,train,22,0.0,136,-62.3998908996582
1768410898,2,train,23,2.0,200,-62.0565185546875
1768410929,2,train,24,2.0,204,-62.72482681274414
1768410964,2,train,25,2.0,227,-63.751277923583984
1768411004,2,train,26,0.0,255,-64.1775894165039
1768411033,2,train,27,0.0,190,-64.26807403564453
1768411054,2,train,28,0.0,135,-64.27667236328125
1768411089,2,train,29,0.0,230,-64.22447967529297
1768411116,2,train,30,0.0,169,-64.2044677734375
1768411144,2,train,31,0.0,184,-63.997764587402344
1768411175,2,train,32,0.0,200,-64.1413345336914
1768411212,2,train,33,2.0,244,-64.74297332763672
1768411243,2,train,34,2.0,200,-63.80826950073242
1768411282,2,train,35,3.0,251,-62.47684860229492
1768411313,2,train,36,2.0,199,-62.46354293823242
1768411352,2,train,37,3.0,252,-62.87704849243164
1768411382,2,train,38,2.0,198,-61.24349594116211
1768411413,2,train,39,2.0,200,-62.127254486083984
1768411451,2,train,40,3.0,246,-62.230499267578125
1768411482,2,train,41,2.0,199,-62.27946472167969
1768411513,2,train,42,2.0,201,-62.16880416870117
1768411544,2,train,43,2.0,201,-61.779266357421875
1768411564,2,train,44,0.0,129,-62.3283805847168
1768411595,2,train,45,2.0,200,-62.51860809326172
1768411626,2,train,46,2.0,199,-63.18809127807617
1768411657,2,train,47,2.0,202,-62.18636703491211
1768411687,2,train,48,2.0,200,-63.37259292602539
1768411719,2,train,49,2.0,206,-62.97814178466797
1768411752,2,train,50,2.0,209,-62.05545425415039
1768411791,2,train,51,3.0,255,-63.889251708984375
1768411813,2,train,52,0.0,146,-64.06180572509766
1768411834,2,train,53,0.0,135,-64.20203399658203
1768411854,2,train,54,0.0,129,-64.04258728027344
1768411887,2,train,55,2.0,215,-63.57483673095703
